user_id,artistname,trackname,playlistname,artist_clean,track_clean,id,play_count,has_variant,valence,energy,danceability,acousticness,tempo,loudness,instrumentalness,speechiness,liveness,genres,popularity,year,mode,explicit
00152c870313100559aad7b097d9c1f5,Gang Starr,The Militia - Feat. Big Shug And Freddie Foxxx,Starred,gang starr,the militia - feat. big shug and freddie foxxx,3RJdwyIp02q99eXzmLSMos,1.0,True,0.693,0.698,0.7879999999999999,0.0862,89.456,-5.013999999999999,0.0,0.252,0.119,"['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",38,1998,0,1
004e1cd03ad00ebedf071ffd98665649,Creedence Clearwater Revival,Bad Moon Rising,Starred,creedence clearwater revival,bad moon rising,6mhOKxQTdq1ZFy7fAZeqzc,1.0,True,0.472,0.883,0.383,0.000806,137.298,-5.409,0.0181,0.0311,0.655,"['album rock', 'classic rock', 'country rock', 'rock', 'roots rock', 'southern rock', 'swamp rock']",23,1980,1,0
0077392401062a0eb2bef08c4ded8bb5,2Pac,California Love - Original Mix (Explicit),Starred,2pac,california love - original mix (explicit),0bzLeU6MipJvb9Iq15CCVZ,1.0,True,0.758,0.843,0.5660000000000001,0.34,80.443,-5.233,0.0,0.314,0.133,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",41,2003,0,1
0077392401062a0eb2bef08c4ded8bb5,Wiener Johann Strauss Orchester,"Egyptian March, Op. 335","Egyptian March, Op. 335",wiener johann strauss orchester,"egyptian march, op. 335",56YstNT2fL3XXFbMLWYVX8,1.0,True,0.347,0.0648,0.291,0.94,111.826,-22.707,0.93,0.0342,0.345,"['classical', 'late romantic era', 'operetta']",39,1982,1,0
008ac656ed12da791d53ff9f20b17123,Chubby Checker,Limbo Rock,Starred,chubby checker,limbo rock,7fgQxIMO8E0sVRs5g4JFLM,1.0,True,0.8859999999999999,0.747,0.605,0.244,83.79299999999998,-6.922999999999999,0.0,0.158,0.16,"['adult standards', 'brill building pop', 'rock-and-roll', 'rockabilly']",45,2005,1,0
00b1a6392585c7e489409ab5a5a031d6,Jason Mraz,I'm Yours - Live,List,jason mraz,i'm yours - live,3ce7k1L4EkZppZPz1EJWTS,1.0,True,0.6990000000000001,0.628,0.65,0.0482,84.14,-7.16,0.0,0.0232,0.119,"['acoustic pop', 'neo mellow', 'pop', 'pop rock']",47,2012,1,0
00b1a6392585c7e489409ab5a5a031d6,Naughty Boy,La La La,List,naughty boy,la la la,5yZvaUVyuXfSVUaMumFi6l,1.0,True,0.0784,0.846,0.319,0.0103,139.16299999999998,-6.109,4.11e-05,0.0796,0.475,"['tropical house', 'uk contemporary r&b']",67,2015,1,0
00b1a6392585c7e489409ab5a5a031d6,Three Days Grace,Animal I Have Become,List,three days grace,animal i have become,3yzrIC7yDuUjwtU7xdt16m,1.0,True,0.231,0.956,0.4970000000000001,0.00069,96.495,-4.383,1.38e-06,0.0445,0.173,"['alternative metal', 'canadian metal', 'canadian rock', 'nu metal', 'post-grunge']",55,2016,0,0
00b1a6392585c7e489409ab5a5a031d6,Three Days Grace,Never Too Late,List,three days grace,never too late,3yzrIC7yDuUjwtU7xdt16m,1.0,True,0.231,0.956,0.4970000000000001,0.00069,96.495,-4.383,1.38e-06,0.0445,0.173,"['alternative metal', 'canadian metal', 'canadian rock', 'nu metal', 'post-grunge']",55,2016,0,0
01157030b33e855ca31623dfe3c355ab,Various Artists,The Royal Concept - Young Wild & Free Intro,Nina songs,various artists,the royal concept - young wild & free intro,69PPaXno1AY7y245DRvkKO,1.0,True,0.272,0.055,0.315,0.898,115.89,-30.308000000000003,0.977,0.0381,0.119,[],36,1998,1,0
0121dbf0261e4015078c312f7dd5996d,Madonna,Material Girl,Material Girl,madonna,material girl,5HktkLHDbjA6LTyRTBEzHy,1.0,True,0.933,0.8909999999999999,0.637,0.0742,126.002,-4.138999999999999,0.0006219999999999,0.0345,0.0686,"['dance pop', 'pop']",54,2009,0,0
0121dbf0261e4015078c312f7dd5996d,Michael Jackson,Bad,Starred,michael jackson,bad,4FC7GMnGwYeAjuvC83Srbs,1.0,True,0.331,0.8009999999999999,0.735,0.178,131.425,-4.525,0.000408,0.0437,0.324,"['pop', 'r&b', 'soul']",64,2017,1,0
0149d1f33e05825bd427a654e296cf5f,Henry Mancini,Two For The Road,lista sin título,henry mancini,two for the road,7jD6RtY1ngLWkUMU3Iwpnl,1.0,True,0.338,0.232,0.334,0.965,130.095,-15.092,1.56e-05,0.0496,0.305,"['canzone napoletana', 'classical tenor', 'italian tenor', 'opera', 'operatic pop']",42,1997,1,0
015973c94a339d247cf1f8beebc71455,The Offspring,Come Out and Play,I miei brani di Shazam,the offspring,come out and play,0wDgnPr6qmNH3I9EGsIRu2,1.0,True,0.318,0.976,0.402,0.0029,150.061,-1.823,0.0,0.0712,0.116,"['alternative metal', 'permanent wave', 'punk', 'rock', 'skate punk', 'socal pop punk']",52,2012,1,0
017f53f1df26e5adad6a0b93cef8f97b,Deorro,Five Hours,Starred,deorro,five hours,6omW6DQqbdBwJ4NKAcyAng,1.0,True,0.501,0.883,0.6990000000000001,0.0288,127.954,-3.2260000000000004,0.0,0.229,0.8170000000000001,"['big room', 'dance pop', 'edm', 'electro house', 'melbourne bounce', 'melbourne bounce international', 'pop dance', 'progressive electro house']",52,2015,0,0
017f53f1df26e5adad6a0b93cef8f97b,Martin Garrix,Animals - Original Mix,Starred,martin garrix,animals - original mix,65G7XDGcybJiGywSCXJiL5,1.0,True,0.0381,0.914,0.593,0.00137,128.015,-5.351,0.445,0.0363,0.0714,"['big room', 'dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'progressive house', 'tropical house']",57,2016,1,0
017f53f1df26e5adad6a0b93cef8f97b,Owl City,When Can I See You Again?,Starred,owl city,when can i see you again?,6xV6bjb0E7qdY6s1RVVr4t,1.0,True,0.594,0.45,0.696,0.0075599999999999,120.024,-8.138,0.0,0.0482,0.0687,"['indietronica', 'modern rock', 'pop', 'pop rock', 'post-teen pop']",45,2013,1,0
02230b8437e33d0cd0f091a60eb7e9aa,Glee Cast,Without You (Glee Cast Version),Without You (Glee Cast Version),glee cast,without you (glee cast version),5gKfjl3XR7Oqf07gkjwLQk,1.0,True,0.253,0.507,0.605,0.618,89.03299999999999,-6.354,1.92e-06,0.0259,0.122,"['glee club', 'hollywood', 'post-teen pop']",55,2013,1,0
0254de3ceb591c0a28fb8dc2ae96a52f,Jessie J,Personal,Amaia,jessie j,personal,4PYiIgzcp4o5pEYji1xY9q,1.0,True,0.612,0.733,0.6609999999999999,0.0153,143.93200000000004,-2.7,0.0,0.0434,0.0982,"['canadian contemporary r&b', 'canadian pop', 'pop']",62,2014,0,0
0254de3ceb591c0a28fb8dc2ae96a52f,Lilly Wood and The Prick,Prayer in C - Robin Schulz Radio Edit,Amaia,lilly wood and the prick,prayer in c - robin schulz radio edit,5fnA9mkIfScSqHIpeDyvck,1.0,True,0.8,0.875,0.763,0.024,123.013,-5.7970000000000015,5.41e-06,0.0262,0.599,"['french indie pop', 'french rock']",70,2014,0,0
0282bf4866bfe00c00ecebd67dbc1ed4,Jungle,Time,xitxarra,jungle,time,33wUd3GgaRf2rux2aJ71yb,1.0,True,0.7659999999999999,0.4920000000000001,0.816,0.431,115.989,-7.463999999999999,0.0899,0.0752,0.0995,"['indie soul', 'uk contemporary r&b']",68,2018,0,0
0282bf4866bfe00c00ecebd67dbc1ed4,alt-J,Left Hand Free,xitxarra,alt-j,left hand free,7gn0MfkV4ZuMkqbPlmhIlx,1.0,True,0.604,0.622,0.648,0.0959,142.97899999999996,-6.651,0.477,0.0578,0.126,"['indie rock', 'modern rock']",55,2017,0,0
028afc63bd63b6c8a884a04ce47daeb6,Young Money,Steady Mobbin,descargar,young money,steady mobbin,4aoTZHeWFCbquvIBhAUZlL,1.0,True,0.218,0.466,0.85,0.122,114.026,-7.1320000000000014,3.36e-06,0.0538,0.105,"['dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",51,2014,1,1
02ac1d2720b551f943ab71f611de9492,Vinicio Capossela,Che Cossé l'Amor,Starred,vinicio capossela,che cossé l'amor,28lZSZTZjIuoO07nACvfNo,1.0,True,0.732,0.588,0.675,0.736,84.945,-7.477,1.03e-05,0.0675,0.135,"[""canzone d'autore"", 'folk rock italiano', 'italian adult pop']",56,1992,1,0
030f0938bb71a3f3b942d7285c524001,A$AP Ferg,Work REMIX,Best,a$ap ferg,work remix,661wc0CTq5MbppEG6zYP5n,1.0,True,0.152,0.603,0.7240000000000001,0.0187,180.02,-6.553,0.0,0.406,0.1689999999999999,"['country rap', 'lgbtq+ hip hop', 'pop rap', 'queer country']",67,2020,1,1
030f0938bb71a3f3b942d7285c524001,Beyoncé,Drunk in Love,Best,beyoncé,drunk in love,1zSKtBze2IReYU44W0lDzd,1.0,True,0.35,0.331,0.337,0.657,103.203,-10.16,0.0,0.0385,0.085,"['dance pop', 'pop', 'post-teen pop', 'r&b']",66,2019,1,0
030f0938bb71a3f3b942d7285c524001,John Legend,All of Me,Best,john legend,all of me,78W3OjLt8Ugxaar3h9mY2j,1.0,True,0.4320000000000001,0.501,0.674,0.0364,133.974,-9.454,0.0,0.0394,0.0755,"['neo soul', 'pop', 'pop soul', 'r&b', 'urban contemporary']",44,2008,1,0
03170ac4aa0d578252065f34ef540564,Carla Morrison,Disfruto,Disfruto,carla morrison,disfruto,50Jd7tX7dMu79Oknn7sXSW,1.0,True,0.466,0.311,0.504,0.5489999999999999,207.019,-10.594,1.31e-06,0.046,0.19,['mexican pop'],58,2010,1,0
03170ac4aa0d578252065f34ef540564,Carla Morrison,Tu Orgullo,Tu Orgullo,carla morrison,tu orgullo,50Jd7tX7dMu79Oknn7sXSW,1.0,True,0.466,0.311,0.504,0.5489999999999999,207.019,-10.594,1.31e-06,0.046,0.19,['mexican pop'],58,2010,1,0
03170ac4aa0d578252065f34ef540564,Simon & Garfunkel,Bookends,Good Songs from films,simon & garfunkel,bookends,2P6F1jmMgSScpvx4aZvbmY,1.0,True,0.313,0.251,0.355,0.858,131.578,-16.456,4.52e-06,0.0539,0.775,"['classic rock', 'folk', 'folk rock', 'melancholia', 'mellow gold', 'rock']",49,2008,1,0
0322f949b6732950b085713928755698,Bebe,Ella,Starred,bebe,ella,1DOuHBUpfN1GwDsZOZkwgO,1.0,True,0.866,0.797,0.843,0.269,118.006,-6.746,0.0,0.0586,0.0465,"['dance pop', 'pop', 'pop dance', 'post-teen pop']",63,2004,0,0
