user_id,n_interactions
00055176fea33f6e027cd3302289378b,98
0007f3dd09c91198371454c608d47f22,81
000b0f32b5739f052b9d40fcc5c41079,41
000c11a16c89aa4b14b328080f5954ee,622
00123e0f544dee3ab006aa7f1e5725a7,13947
00139e9cb50fb309549e1561b476226d,266
00154ec9dd1acd4ebfb521629dcb3948,185
001599a07cb8ef5f114a9fcf4e0e2757,6
0019363a0d57e94d39988c31eeb8d015,172
001c4e5b73eca68ee9756bb0c7d2f855,503
0025022960e5f0d7d01af5d840014594,757
002544ea04896444d79d3e4a7e073422,193
0028736f2b131fc698d959ca9adddc4b,146
00287ecf491882a40ff34b0fd75a5b16,1196
002e678084db2e201d2721bf5af4e54c,212
00335c41fbebfbcc5faf1edad729f696,24
0042854accad3f11774312547a872cc9,483
005241c63412ee4be1955b05faf301dc,105
00526df8fabfb8c8605f180ed1880754,647
0059ac6b3ba3c3f415f09059a3bd703a,101
0065e0de8006b1a94fd9362d16ce021a,46
006ac48c011ce60c0817e4d311acf1df,465
00713b834248f13729f9dc55cbe3d33e,772
0075df30386c1755d95008ae244eec57,83
007b9bb5853488474eed02078342e65d,29
007cab633671b7475e317587ebb31d8c,3078
007eb8147a9f4db33827c480b5bd69e2,204
008381db1c64565be142d63a1fa1eb0c,414
008b9c31bf5ce3285686c4b52b67c420,345
008ed29e5f9b8cb569510d3870a3c293,93
00909b16e60501d9da9acf7bd2c5b00d,3274
0090be30ad73c5c05d9cab09228d8e33,21
0091769ba1946eded1b8574934dc9a36,84
0094bb6a43cc8def50d85335f9edcb79,287
00967afd6e687f2d07cab2e874fb929d,121
0098b965803a4c10723f8e216f9e0904,458
009bf64464f1e6b199cd09b824b2d191,54
009d96adf819aeed0bcff4448cad7a9a,319
00a116ae73ee3722327e7a6b592a07ea,36
00a85a047efa33e503c9892d8da7d0bd,75
00a96a1a6dd199abd0d5df397f80ad99,43
00ab7264602fccc451149f2729ddd8f6,24
00abf74ef96b119cf0052a3d86fd4425,290
00ad223995792793c9ee902cd545ef7b,834
00ae5dacf865300914f9e0336ad09cb6,599
00b22cb1f3c72336db3fff249051dfa9,852
00b4539e695290d981811f448e6df4ea,154
00b5474f01e21d9174c0b5c2b8e67c97,493
00b79debf87ef0364017de90836dc35e,367
00ba6890ed516e47967114c2f75bbe35,2025
00baf8f9996cd14448b3ac4675036e10,20
00be8fa9d10f6318156fa753857597cf,1038
00c58a505e97067cf582e2cfac4e3a04,1293
00c64863e80532f599ebdd6e3e127a64,1493
00c7daf538b54958e926e713d83f74e7,2069
00ce27303138f4d2e1b0246d07d221b5,14
00d00aec0d2d486af2d8dd4816574066,452
00d4cca7317eba084c1d93a76f502f00,111
00d93ed490e116f5d3f2c4ea5703d8e9,12
00dcb0048ad5e588738b8f178299c07d,270
00dd7fde8040db835d917e077bb47e4b,10995
00ee3fb3def5ec066a91c3e94f5cb474,468
00f21af33be9fb89ab4b18968fdc3892,415
00f36fd0b7dbdf85dfb32387f9124c18,43
00f38a9f7e21c349643b32489bda6ff3,544
00ff8855fe1fc87e2a7b3a10fdc29a88,1192
00fff77cc29acfc997094a7222059844,17
010096e20f6d97884d2e9e7fcc9a3576,504
01032d628bd015d468a9849bc02b9260,291
011208e6982617395cc993302041a73e,658
01225247699d10d0e97cddfd5ccb9607,736
0127e7776e6d720c6eed9f6e31004a90,41
0129886994c81e6fabc08e5ab2fa494b,53
012a09d3da486e0df5c4194eeb8b7285,105
012db3e7cbd92055288210776d30410c,1601
012f27afd42a20e505082e5fc37045b2,42
013133a7869817822c117402ba2facf6,43
013563dd7de2dc6431a3517d5ccdbef0,591
013a2d23b71c5d4c6be4367e45c1241e,874
013dd02e71be82ac338bf33b1cec437a,338
014150ffac611af35c45dd735f1b3756,108
01429fbf7fb40aaaa3bcb0d621eb25c7,85
01441bd3c8490679dad0c7710bbdb19d,192
0145d31381bba129b9c5dca514e8777b,1484
014a86f4b406f4f8666d2537b4552182,447
014cbb4fca17d60636275b13377cab6d,620
014e695cc6df96011b90a5beb3206012,7144
0151e1f273be442846834118ca5a1bac,331
01546614aac35b41724ac22029e46e1f,1563
015847baf54715b22d52daa76198acc7,28
0169a7c270e7431ec20f65b26ccb4a7a,744
016a47c0641b158ccce1263c1f948fca,321
016a8eb7c9e5f511bd3749552ab19e56,223
016d025f7c4996a039244149d64ec0fa,37
016da9e169a8201d0c089f4f05b54956,113
01957b56d1ffbbe29f527f0334930d4e,713
01988960f3f729e4a0772b48e5f76937,33
0199c02ec7be3fae0d048dcd9253290d,10
019b290d15832df362239b8664ddb1d9,294
01a729170a5f0e97ddf0a6613ae1be35,689
01ad7fc79498ab698b3f0e0f2c5c818e,7284
01ad9b92d7945296eaded1e2721bedac,116
01ae27762c085ae2d6f202325debe054,311
01b522c3f4ca191b4ecffbffd4faff44,490
01c217d12d067ac0da705637467720e5,1378
01c40d35a8d5f19fe1e486a33b5039ad,5
01c486cc87d38438bce457c91131262a,24
01cf7de52924cf918f331e697f88f299,133
01d0ffb3f21ebe904adc4c03544055b4,97
01d3734cad83582b798e41e0c5c0f7ff,2345
01da507b814ffa33019ac2a133fdf43b,82
01e3b221d388709cebdee9a299b4af80,73
01e548fe58a4aeef36544080bc8977d0,460
01e55d8ea1461b270889e4d205205eb9,465
01eaf1d5bb63bd496ca1e2a8c7762148,1101
01eba30a5a48c88f622b0ca3c6731c0a,486
01ef80101c7c3126b0eab7d5b8071800,333
01f2077314539af4876f5f2e0efc1898,11
01f9ad79c28415ac443eb7171e960381,829
01fa3775334ef64669657a60a77f878e,536
01fce1a82e5dc4171372d80ac017dda9,518
0209072ce363ec770c014859ed5cd481,686
020ad91570395131c20cf943b733c797,129
020b7c51047d473927d3f0b4437793be,285
0216db58b2b4406b3ed9a7aea0d628b5,115
0221c75474b4de41ddd77c5936d6749d,353
0222645a18898b507b977dd570980cd1,271
0228cc1c08d89dd5c1f7b315cd224665,17
022c5c5e265cccedfeabae8299025c01,437
022cf127719796c6fdf8e0f4976c5330,24
02342b43ac13824533cc34a180efa3a4,134
023bc69fd685b73f03e55738b1bdc424,15
023ccbb54a89d3cbabe14a331428860d,426
023d4797f726652541c7f55fba8f8378,41
024c23ca04efbe860a5823e3d3f73b0e,1235
0252f1bbf4ddd03bca0fea8368ddcd66,56
0255f043d69f1bedc070f72e94b01c05,147
025676336886c8addffa9570f57c406b,656
02583d5042e95955cf582682e2459fb5,304
02595755b10dc39c38b4a2a230942363,579
025c0e6fcaec5cb596c2f1ae7d031ff1,1475
025c9287c0fe58c0622af8ff59d7effd,466
026036bc6fe26fa54f802a9fd12dff54,110
0263a80f54c0acdd1b47d81f44fbd6d7,69
026d6352ed28612ba54d3d259c46296a,357
02753d965e5aa3948b49a21edaaff889,11
02823f4ac5f914d0ecd3e1831f7c7172,17
028749f9ef163b3fdab667969f49ac48,185
0289534669ada06c967aede0871fb279,885
028983aaaffec1bb047cc29033296e60,29
02963711dea2e54d1856c1a33ce3cf8a,29
0297cadec0113745f346603d73a281d8,619
029b835ff6cf915284b859b5f2e53110,75
029c2a64911f9a7dce2fcf9b702ee624,1000
029c92d935013c478280e6804a2e3ef2,441
029dac701f9473f549de8ba1004363de,92
029f72ad9575fb4e58bbd78f10053b84,12
02a1d1315685ad051d47ae2f2c10e3e5,63
02a2a73943065f571ab72f2620d4c8a1,117
02a317704e495602eb00a4179727f92b,222
02a3b8caebbd1c9965a03c9b27032fe1,4331
02ab8fee3a456231efdacd1947bd5890,1058
02adcadaa58601a02799c0dfced1ee89,136
02b34bfb5e08bf0385cd79cc54cdadaa,186
02b3802e480a62e45be4789fa7b4d15a,309
02b39bf405d619050f2c175163ea0698,130
02c63f2f98e9c66f8d1f9edfca64d027,412
02cdc6d929a8a4e49616ad9aa91780df,187
02cfdf5471443996274019fa8bfdc4ac,164
02d2f0a5c7e6065ede40584c6398f9ed,1063
02d3b8d6f39ff5710f771581f01c6039,873
02df335c6e65881525d0ef1d8bd74ed8,1517
02dfa920e8cbfbb65ec0765dc1e7c8a8,183
02e7c60f1140ccc6baa9ef04fb470b60,96
02e7e8b832c68c0e38e6af926a225421,99
02ecff5b6c216a6bb5b5dd9c13de71f3,163
02ed09790bd14407e19e16a8014934c4,104
02f34d5d159da7f584bd7bca30ad3eb0,539
0308284ac2d49b8692103f04b6ac741b,518
030e131d87b43b6df3b86c2086c97583,47
030f98e11417305fab4c4e0d26274c63,65
031583bb3327630f396c1206fc0fe320,1654
0315f91c62bc805dc2ad3df5a408916a,876
031a6ffa757b32ce5d7bd22fe9f7d511,10
031b023c480fce7b747bfd1bae34314e,1442
031bc6f4643fc6693894df66639464ea,76
031d69a7c94fdedb5e8648916af3a4e4,728
031f8dcaacb8b59ade2844d4fab6634e,195
0320857312b4e50a71aa17f1bbcee481,55
032194b0f66c5cf43cf768a92a68efa9,124
0324fb3495325ca99c1566fdf3152fd6,9
0326d7137b68e3ce019c3a5ba9b42d16,494
032cba4414074d75703fd08041971c84,123
0333996baa6c304876256d0acd7e1d42,417
033607ccb5a93ad76424d178fd5deec6,471
033c08681f22c6f0e4fb258b31b0c085,58
0340802da56d15d585a26f9c9d0e9733,639
0341168b367f98cfa664007a17eb021d,64
0341b9badfb5c065785174c1cb52ed41,303
0344c635103caade38e58dd285e98e0b,108
03487114b1f95f6e9881240987b9a177,656
0348a47ccf8305a3fadcffa0243d7842,191
034f780c2bea3081e49bea7912f1316a,415
035143c30c752c3a4d6d589617b14d5a,1456
03514fbda26c04c02b917b26dd287226,739
03528e2dca6adaf0879c143f0b175a9a,225
035c31fa0bde7f87c9c22abb1ba8d683,19
035da27687712f6227f9ee955ee7187b,284
0360dadb07b1f2aaeb15f0f210237302,9
03615d4beb026367b4b27e009ef87b77,95
0369d3653da9761ddf9b628b1e5ced94,124
036b482a22973185444fffb736d602e2,1757
03747ecaf0ca07cd9218f2414702e4e7,609
03948e26ecbf48d538f549faaee4fa3d,231
0397dd9e646f6a297f543481f9d5fa16,179
039880987a84fc95c50ebfbbe8283734,475
039fcde5aa7df17d16413f0b1b292636,247
03a280477074a649bbabccb571ba0f92,1404
03a3ff0b6acd6fe16474887e3287025f,45
03ab753b6bfa535b961ccfc0e5d71e60,471
03ae4d401092deab58cc6173af64ad24,125
03aeb8f3fdc6ab2844da879ef794d39e,66
03b09cfcc7b2d79bc4070aae260cbca3,74
03b3c34198301598b0908862a4f86138,1014
03b597243b14f5107702a584238a4c1a,718
03b93d5ab3e9373139da0167035bd8ca,298
03bf70929522d0fa80ddbfa69ee404d1,223
03c1465e968ec1e03dea259c7c0a2e14,175
03c3f22f7c0f877e04b9ea468f30e406,451
03c7ce52321ad165332359e2395980fd,2830
03cbb61576eddfd4eb42e6d58be62f4c,446
03cc97c2091c06037a465550362e7187,496
03cdd3c91039b12b019f4176de665200,38
03d19a49948a4e30bdc5fb5bceca258d,46
03d448fc09ca303a2042cf9444a804f3,801
03dceda358eae17bd3f737dcce4ad17c,299
03e3e6f65550b760728ab16cb61df236,431
03e60a7fa9f84d6841d5f6626f02931f,405
03e79b6ee982d9191544640f9ee866d4,516
03e91c5a2392c51abcc706c008edd89a,234
03ebf6d0b48da6d59e0e838e72ebd450,5
03f69e30f70509600c4ee8a5be4f437d,354
03f935591253b2a258f2dba14e6c2830,213
03ff97b7687b4c8e0d9c84b0a7e9df11,121
04001b8407847494f1255e4dc3c2c2b9,11
04023ca03385aba0002da27437e098b7,32
040662678e95f6ac45ead147220c31ab,615
040ac9c18a2d0af7ea58039e2fbe7022,592
040bb13fffdbce3b8a6c65e30e5e87f3,51
040ee323ac69602527e0ee2d51b11751,590
040f0fafaf4ecd50496ee1cd13de1711,175
040f90297f05e43a44627aef74e1f371,283
0411e07c13a8a3240127bf0b9264001f,106
041c89929d703a003c560a9079a5d061,626
041db8d58bb043e52138a317aefef41a,289
0422493c7d042062bb320f93941b1065,233
04224c82d9a700ae6b28e453a99946c0,100
04234f10b50227c3a7a2ac5923475aaa,355
042e14a38f5254aad4fc9b0f9e1f9376,300
04328e055caebbd973d9ac6349e594c8,224
04428939bc21b4d3e55051be73d28267,606
0444b4475f3ed9de6558851475756907,27
0448cf5830a7c470aa43c871464d8b41,222
044eac46eec8561f1af119e0da5108b0,683
0450d61bf1256022a2b20a507b885ba4,141
045cea0511390c259a2e2db3645aabc9,22
046555b5e4615bf2ae70c3e3ced952b7,42
04661f453e209d0d9d68b1d6012e4cb1,316
046e6c03bc60b6d821569a1d12d98060,702
0473f2a816194ecf7309008d38a89497,14
0474cecb1a4f75738b63cdf278960578,1220
0475f8ca59a6e0ec868ec99e64657333,147
047a6f33aad1e5f682d39d61c9e19cd9,24
047d644fd6e8d65fffdee795d4c87f83,318
048045c0baa96d3c88df3ebebbb0e9b2,303
0483ff48aca169720146014485d1af78,71
048cdd7260a1187d29741b7c4777ec9d,183
04939b224ac61ca0f49f40a7d4ecb090,227
04994e8175b4a611439c3f6f4c577154,109
049ecd81e874243456eb87724b695ef9,1208
04aaf80bbb93551f98ee209668c412d3,63
04b04ecbb2d2de57afe307fce263a013,247
04b41af67cadea1f476697f34d5edfa3,911
04b59e899723fd5cfb181d9d6fccb73e,30
04badc51b7c3dcb81e9b31202184ae53,712
04bb89fedbd218afb6b313f5ca6946c7,583
04bc2bc220e478a84914290db2c85789,361
04be2049a63677c4b877c10da93ae1cb,5
04bfc6d99a244c7df3bce93cc6e23c3d,867
04c5967715849893610f7e2b3b8681ae,2605
04c8971122a8f7728534a84747b9d669,966
04c933d6b992ba8c5b0f2a6ecc89ad87,37
04ce45760eb3f156d3d2f69dea9f761a,1681
04d4461826fc8c6b82ff40f1d89a8f75,886
04df78402cf5da0d61fc4f8bb1c9f3d5,52
04e305b4d31a7d2cdb368ac61f532a82,176
04e775484e4576b54a4d8e5a544a0871,221
04e937dd091629ff6cdfb7c2711c5024,28
04ebfac9b55145e464901d8c50af9a43,714
04fdb72192881895cdcd0fef3adbdd15,2072
0503fe73bb13d513f89bad0430ff1637,39
05123168b29663594bb437a1ce56904c,38
05169c71b56cb4ce1f712ce780a59e87,437
0516b841079d56c7f8d425a46f28aaa3,4786
0519ef3626b4f8b63a62a57d8ee1e7e1,1210
0519f12402354fff81ad57bd1d13771c,340
051ad50bd89b368173be0070bead6367,5
051da46b64135cbfcb61e01bf78f67b5,5
0520f6a0b458b69174d9f96435059fa9,655
052a5646131d65d399d20c7d4897d384,218
052b54deb0c34e70e90de944128314db,502
052c20479ab8562fc68871770e2b6d69,598
052d225d5d16e1b3c3932b20d200d29e,185
05373d84d996c5435e2ed977d8ca7aff,142
053c0fd6ab82abddbb2e171ed588d0b7,443
0541873d6e4bfb33b560d76d3110b6f6,15
05422749e89268463444e00ddea1faf1,8216
054325cbfe08e36a4808dea2e9187894,600
05485816fdab4e5740d3a0d832e7563b,554
0548cc3495acb13a32a7d52bbd5ba64c,35
0551ecf21ed1ef09c5b939f658a10c32,87
0559a6359ca4190e0575f1bb8872aa73,73
055da8fc31ee08703294aeed6743784e,12
056313d278a18d062ca01c53dcbadd55,938
056545ff6bee20986204f331df00328d,87
0565fa0039755d6612fc60a0c835519c,107
056bd84ab53e850340cd8af7be4826e4,242
057702ce846399b53f4a9435da6a4807,881
0578cc43513836a469a1e69657d13a49,7
0579980938ad97831abfaa5e45e65156,512
057c718e625e965616a46f587a80a7d4,43
057e280a342ca94fc4332540c08457ab,51
0580194c15f5bdfbf6e6e27eedb6d8f2,46
058074068602dd4246a1ad53b7536cee,126
0585a6ad25cf6abb968b61c6017aa9a1,115
05897da9f6b2ccdbb4ffcbcc65444836,2380
058ec44e30f6ce9634613f11e6559971,196
059284771b3909401d4b0de6efca9280,12
05956cbfcf9d6460de030a502c4abeed,81
059afab6c1de00c67152ba78ac8db80f,864
059d59f1547d9117cd0058912d520560,284
059e7f1def2699d32a868fa76a422a98,1200
059ec7dbdd64aed0bdc2326019d453fe,1006
05a2fafc5b0ec701c1cb64cc97485cd1,263
05a353f3c328c3c28ef9440e38facf8c,542
05a9e3278474fe01bd4ee3d26f5a08f7,31
05ab110dc5d57a242dfacd0032aee43a,308
05ae7e1318c050c90211b8f711c64a2f,22
05b1edec543e9443a85ffb52f78e01b0,591
05b66f1c7853d952f99ece7c370305ad,565
05b926632deb44dfaf738d9ea67e73a9,155
05be416dc5b09840b3b8d0997ef3d5d8,557
05c22198193c30635fc9fcbebabcd7b3,576
05c28891c55e0c14cf8b98bb30f4da51,1990
05c498fe2592eaa20c3b5efa537b20ce,1565
05c7ab205ff829ef113e66e098938f24,77
05c9e172cc51b7fe41cb4942f29f924b,202
05cba781d849a7670a46ac05961053c2,6
05cd5a5d37f5c53c277e471177fce94f,578
